yORF	gene name	GFP tagged?	GFP visualized?	abundance	localization summary	
YDR185C		tagged	visualized	672	mitochondrion	
YBR140C	IRA1	tagged	visualized	not visualized	cytoplasm	
YJL041W	NSP1	tagged	visualized	2400	nuclear periphery	
YPL158C		tagged	visualized	238	bud neck	
YJR147W	HMS2	tagged	visualized	2050	cytoplasm,nucleus	
YDL106C	PHO2	tagged	visualized	6420	nucleus	
YJL036W	SNX4	tagged	visualized	450	endosome	
YDR031W		tagged	visualized	not visualized	cytoplasm,nucleus	
YBR115C	LYS2	tagged	visualized	7430	cytoplasm	
YLR195C	NMT1	tagged	visualized	not visualized	cytoplasm	
YOL148C	SPT20	tagged	visualized	4150	nucleus	
YGL213C	SKI8	tagged	visualized	1710	cytoplasm	
YBR155W	CNS1	tagged	visualized	672	cytoplasm	
YGR163W	GTR2	tagged	visualized	2610	vacuolar membrane	
YNL046W		tagged	visualized	704	ER	
YBL029C-A		tagged	visualized	996	cell periphery	
YOL142W	RRP40	tagged	visualized	6050	nucleolus,nucleus	
YIL056W		tagged	visualized	279	cytoplasm,nucleus	
YPL246C	RBD2	tagged	visualized	7850	Golgi,early Golgi	
YOR276W	CAF20	tagged	visualized	26900	cytoplasm	
YDL136W	RPL35B	tagged	visualized	19100	cytoplasm	
YLR290C		tagged	visualized	1420	mitochondrion	
YMR292W	GOT1	tagged	visualized	not visualized	ER	
YLR179C		tagged	visualized	6230	cytoplasm,nucleus	
YPR110C	RPC40	tagged	visualized	13000	nucleolus,nucleus	
YMR271C	URA10	tagged	visualized	815	cytoplasm	
YPR128C	ANT1	tagged	visualized	2250	peroxisome	
YML011C		tagged	visualized	1080	nucleus	
YOL054W	PSH1	tagged	visualized	6490	nucleus	
YJR059W	PTK2	tagged	visualized	1420	cytoplasm	
YGR128C	UTP8	tagged	visualized	16800	nucleolus	
YBL011W	SCT1	tagged	visualized	1050	ER	
YGL157W		tagged	visualized	2950	cytoplasm,nucleus	
YLR319C	BUD6	tagged	visualized	2610	bud neck,cytoplasm,cell periphery	
YDR284C	DPP1	tagged	visualized	3040	vacuolar membrane	
YPL256C	CLN2	tagged	visualized	1270	cytoplasm,nucleus	
YGL077C	HNM1	tagged	visualized	technical problem	cell periphery,bud	
YLR323C	CWC24	tagged	visualized	996	nucleus	
YJL198W	PHO90	tagged	visualized	3430	ER	
YDR493W		tagged	visualized	279	mitochondrion	
YBR291C	CTP1	tagged	visualized	not visualized	mitochondrion	
YDR414C	ERD1	tagged	visualized	not visualized	ambiguous	
YDR130C	FIN1	tagged	visualized	not visualized	cytoplasm,nucleus,spindle pole	
YLR212C	TUB4	tagged	visualized	7200	spindle pole	
YBL103C	RTG3	tagged	visualized	1050	cytoplasm,nucleus	
YML020W		tagged	visualized	377	ambiguous	
YER022W	SRB4	tagged	visualized	3650	nucleus	
YPR066W	UBA3	tagged	visualized	752	cytoplasm,punctate composite	
YGL079W		tagged	visualized	1630	endosome	
YDR507C	GIN4	tagged	visualized	736	ambiguous,bud neck,cytoplasm,bud	
YNR022C	MRPL50	tagged	visualized	not visualized	mitochondrion	
YLR168C	MSF1'	tagged	visualized	2910	mitochondrion	
YML043C	RRN11	tagged	visualized	476	nucleolus,microtubule	
YML059C		tagged	visualized	521	ER	
YKR048C	NAP1	tagged	visualized	8070	cytoplasm	
YBR126C	TPS1	tagged	visualized	10900	cytoplasm	
YGL049C	TIF4632	tagged	visualized	3390	cytoplasm	
YAR003W	SWD1	tagged	visualized	907	nucleus	
YHL025W	SNF6	tagged	visualized	2900	nucleus	
YDR464W	SPP41	tagged	visualized	not visualized	nucleus	
YDL076C	RXT3	tagged	visualized	3060	nucleus	
YGR118W	RPS23A	tagged	visualized	10600	cytoplasm	
YGR281W	YOR1	tagged	visualized	3610	cell periphery	
YHR144C	DCD1	tagged	visualized	1510	cytoplasm	
