yORF	gene name	GFP tagged?	GFP visualized?	abundance	
YDL003W	MCD1	tagged	visualized	1040	
YDL005C	MED2	tagged	visualized	10800	
YDL008W	APC11	tagged	visualized	377	
YDL010W		tagged	visualized	1640	
YDL012C		tagged	visualized	2250	
YDL015C	TSC13	tagged	visualized	23600	
YDL017W	CDC7	tagged	visualized	1600	
YDL018C	ERP3	tagged	visualized	3190	
YDL019C	OSH2	tagged	visualized	1070	
YDL020C	RPN4	tagged	visualized	low signal	
YDL021W	GPM2	tagged	visualized	2020	
YDL022W	GPD1	tagged	visualized	807	
YDL025C		tagged	visualized	861	
YDL027C		tagged	visualized	450	
YDL028C	MPS1	tagged	visualized	low signal	
YDL029W	ARP2	tagged	visualized	6650	
YDL030W	PRP9	tagged	visualized	3920	
YDL033C		tagged	visualized	1510	
YDL036C		tagged	visualized	639	
YDL040C	NAT1	tagged	visualized	7600	
YDL042C	SIR2	tagged	visualized	3350	
YDL043C	PRP11	tagged	visualized	3460	
YDL044C	MTF2	tagged	visualized	2060	
YDL045C	FAD1	tagged	visualized	technical problem	
YDL045W-A	MRP10	tagged	visualized	259	
YDL046W	NPC2	tagged	visualized	2840	
YDL047W	SIT4	tagged	visualized	3970	
YDL048C	STP4	tagged	visualized	623	
YDL051W	LHP1	tagged	visualized	not visualized	
YDL052C	SLC1	tagged	visualized	technical problem	
YDL053C		tagged	visualized	1560	
YDL054C	MCH1	tagged	visualized	not visualized	
YDL055C	PSA1	tagged	visualized	97100	
YDL056W	MBP1	tagged	visualized	521	
YDL058W	USO1	tagged	visualized	2330	
YDL059C	RAD59	tagged	visualized	468	
YDL060W	TSR1	tagged	visualized	1390	
YDL061C	RPS29B	tagged	visualized	5410	
YDL063C		tagged	visualized	2600	
YDL064W	UBC9	tagged	visualized	2600	
YDL065C	PEX19	tagged	visualized	5350	
YDL066W	IDP1	tagged	visualized	not visualized	
YDL067C	COX9	tagged	visualized	35500	
YDL070W	BDF2	tagged	visualized	2930	
YDL072C		tagged	visualized	2840	
YDL074C	BRE1	tagged	visualized	2980	
YDL076C	RXT3	tagged	visualized	3060	
YDL077C	VAM6	tagged	visualized	319	
YDL078C	MDH3	tagged	visualized	3300	
YDL080C	THI3	tagged	visualized	2140	
YDL081C	RPP1A	tagged	visualized	not visualized	
YDL082W	RPL13A	tagged	visualized	133000	
YDL083C	RPS16B	tagged	visualized	not visualized	
YDL084W	SUB2	tagged	visualized	51700	
YDL085C-A		tagged	visualized	876	
YDL087C	LUC7	tagged	visualized	2270	
YDL088C	ASM4	tagged	visualized	2740	
YDL089W		tagged	visualized	606	
YDL090C	RAM1	tagged	visualized	3910	
YDL091C		tagged	visualized	233	
YDL092W	SRP14	tagged	visualized	8000	
YDL095W	PMT1	tagged	visualized	41500	
YDL097C	RPN6	tagged	visualized	16800	
YDL098C	SNU23	tagged	visualized	907	
YDL099W		tagged	visualized	5220	
YDL100C	ARR4	tagged	visualized	17300	
YDL101C	DUN1	tagged	visualized	3480	
YDL102W	CDC2	tagged	visualized	not visualized	
YDL103C	QRI1	tagged	visualized	5480	
YDL104C	QRI7	tagged	visualized	1400	
YDL105W	QRI2	tagged	visualized	technical problem	
YDL106C	PHO2	tagged	visualized	6420	
YDL107W	MSS2	tagged	visualized	736	
YDL108W	KIN28	tagged	visualized	4400	
YDL110C		tagged	visualized	2110	
YDL111C	RRP42	tagged	visualized	7110	
YDL112W	TRM3	tagged	visualized	861	
YDL113C	CVT20	tagged	visualized	358	
YDL115C	IWR1	tagged	visualized	1080	
YDL116W	NUP84	tagged	visualized	8580	
YDL117W	CYK3	tagged	visualized	377	
YDL119C		tagged	visualized	1550	
YDL120W	YFH1	tagged	visualized	1560	
YDL121C		tagged	visualized	3260	
YDL122W	UBP1	tagged	visualized	8970	
YDL123W	SNA4	tagged	visualized	6780	
YDL124W		tagged	visualized	4030	
YDL125C	HNT1	tagged	visualized	5410	
YDL126C	CDC48	tagged	visualized	78400	
YDL128W	VCX1	tagged	visualized	7770	
YDL129W		tagged	visualized	450	
YDL130W	RPP1B	tagged	visualized	22400	
YDL130W-A	STF1	tagged	visualized	low signal	
YDL131W	LYS21	tagged	visualized	21900	
YDL132W	CDC53	tagged	visualized	377	
YDL133C-A	RPL41B	tagged	visualized	4910	
YDL134C	PPH21	tagged	visualized	5620	
YDL135C	RDI1	tagged	visualized	1670	
YDL136W	RPL35B	tagged	visualized	19100	
YDL137W	ARF2	tagged	visualized	25000	
YDL139C	SCM3	tagged	visualized	556	
YDL140C	RPO21	tagged	visualized	technical problem	
YDL141W	BPL1	tagged	visualized	1970	
YDL142C	CRD1	tagged	visualized	876	
YDL144C		tagged	visualized	5170	
YDL145C	COP1	tagged	visualized	15200	
YDL146W		tagged	visualized	329	
YDL147W	RPN5	tagged	visualized	5710	
YDL150W	RPC53	tagged	visualized	998	
YDL152W		tagged	visualized	not visualized	
YDL155W	CLB3	tagged	visualized	892	
YDL156W		tagged	visualized	3810	
YDL157C		tagged	visualized	752	
YDL159W	STE7	tagged	visualized	672	
YDL160C	DHH1	tagged	visualized	42900	
YDL161W	ENT1	tagged	visualized	low signal	
YDL164C	CDC9	tagged	visualized	149	
YDL165W	CDC36	tagged	visualized	2120	
YDL166C	FAP7	tagged	visualized	8350	
YDL167C	NRP1	tagged	visualized	3570	
YDL168W	SFA1	tagged	visualized	8370	
YDL170W	UGA3	tagged	visualized	1200	
YDL171C	GLT1	tagged	visualized	18900	
YDL173W		tagged	visualized	1140	
YDL174C	DLD1	tagged	visualized	10800	
YDL175C	AIR2	tagged	visualized	1800	
YDL176W		tagged	visualized	339	
YDL178W	DLD2	tagged	visualized	11400	
YDL180W		tagged	visualized	not visualized	
YDL181W	INH1	tagged	visualized	981	
YDL182W	LYS20	tagged	visualized	28100	
YDL184C	RPL41A	tagged	visualized	11900	
YDL185W	TFP1	tagged	visualized	200000	
YDL188C	PPH22	tagged	visualized	4110	
YDL189W	RBS1	tagged	visualized	892	
YDL190C	UFD2	tagged	visualized	2600	
YDL191W	RPL35A	tagged	visualized	not visualized	
YDL192W	ARF1	tagged	visualized	19300	
YDL193W		tagged	visualized	not visualized	
YDL195W	SEC31	tagged	visualized	1840	
YDL197C	ASF2	tagged	visualized	1910	
YDL201W	TRM8	tagged	visualized	2630	
YDL202W	MRPL11	tagged	visualized	6070	
YDL203C		tagged	visualized	98.9	
YDL204W	RTN2	tagged	visualized	low signal	
YDL205C	HEM3	tagged	visualized	8480	
YDL207W	GLE1	tagged	visualized	1040	
YDL208W	NHP2	tagged	visualized	not visualized	
YDL209C	CWC2	tagged	visualized	2650	
YDL211C		tagged	visualized	3360	
YDL212W	SHR3	tagged	visualized	6510	
YDL213C	NOP6	tagged	visualized	8970	
YDL215C	GDH2	tagged	visualized	7400	
YDL216C	RRI1	tagged	visualized	low signal	
YDL219W	DTD1	tagged	visualized	4610	
YDL220C	CDC13	tagged	visualized	319	
YDL222C		tagged	visualized	329	
YDL223C	HBT1	tagged	visualized	not visualized	
YDL224C	WHI4	tagged	visualized	not visualized	
YDL225W	SHS1	tagged	visualized	5620	
YDL226C	GCS1	tagged	visualized	9560	
YDL227C	HO	tagged	visualized	low signal	
YDL229W	SSB1	tagged	visualized	170000	
YDL230W	PTP1	tagged	visualized	2690	
YDL232W	OST4	tagged	visualized	2430	
YDL233W		tagged	visualized	1010	
YDL234C	GYP7	tagged	visualized	2460	
YDL235C	YPD1	tagged	visualized	6330	
YDL236W	PHO13	tagged	visualized	2980	
YDL238C		tagged	visualized	279	
YDL240W	LRG1	tagged	visualized	468	
YDL248W	COS7	tagged	visualized	not visualized	
YDR001C	NTH1	tagged	visualized	1840	
YDR003W		tagged	visualized	1230	
YDR004W	RAD57	tagged	visualized	238	
YDR005C	MAF1	tagged	visualized	1720	
YDR006C	SOK1	tagged	visualized	not visualized	
YDR007W	TRP1	tagged	visualized	1850	
