ORF Name	Plate No.	Well No.
YJR134C	GFP(+)08	D7
YKR090W	GFP(+)08	E7
YNL021W	GFP(+)08	F7
YPL155C	GFP(+)08	G7
YBL035C	GFP(+)08	H7
YKL222C	GFP(+)08	A8
YLR258W	GFP(+)08	B8
YMR001C	GFP(+)08	C8
YMR163C	GFP(+)08	D8
YMR186W	GFP(+)08	E8
YBR131W	GFP(+)08	F8
YDR052C	GFP(+)08	G8
YEL011W	GFP(+)08	H8
YGL249W	GFP(+)08	A9
YMR037C	GFP(+)08	B9
YAR014C	GFP(+)08	C9
YDR176W	GFP(+)08	D9
YDR221W	GFP(+)08	E9
YOR033C	GFP(+)08	F9
YGR266W	GFP(+)08	G9
YLR266C	GFP(+)08	H9
YBL111C	GFP(+)08	A10
YDL074C	GFP(+)08	B10
YOR317W	GFP(+)08	C10
YBR156C	GFP(+)08	D10
YDR108W	GFP(+)08	E10
YLR452C	GFP(+)08	F10
YPL116W	GFP(+)08	G10
YIL108W	GFP(+)08	H10
YLR035C	GFP(+)08	A11
YOL141W	GFP(+)08	B11
YBR255W	GFP(+)08	C11
YIL009W	GFP(+)08	D11
YMR246W	GFP(+)08	E11
YPR008W	GFP(+)08	F11
YBR169C	GFP(+)08	G11
YDR234W	GFP(+)08	H11
YLR072W	GFP(+)08	A12
YPL106C	GFP(+)08	B12
YDR314C	GFP(+)08	C12
YFL013C	GFP(+)08	D12
YML016C	GFP(+)08	E12
YMR224C	GFP(+)08	F12
YOR354C	GFP(+)08	G12
YPR175W	GFP(+)08	H12
YIL144W	GFP(+)09	A1
YDL141W	GFP(+)09	B1
YGL071W	GFP(+)09	C1
YDR332W	GFP(+)09	D1
YBL067C	GFP(+)09	E1
YBR259W	GFP(+)09	F1
YER077C	GFP(+)09	G1
YHR084W	GFP(+)09	H1
YJR110W	GFP(+)09	A2
YPL222W	GFP(+)09	B2
YBL060W	GFP(+)09	C2
YDR444W	GFP(+)09	D2
YER022W	GFP(+)09	E2
YLR117C	GFP(+)09	F2
YLR260W	GFP(+)09	G2
YMR108W	GFP(+)09	H2
YIL105C	GFP(+)09	A3
YLR399C	GFP(+)09	B3
YDR172W	GFP(+)09	C3
YLR143W	GFP(+)09	D3
YOR249C	GFP(+)09	E3
YPL043W	GFP(+)09	F3
YBL024W	GFP(+)09	G3
YMR075W	GFP(+)09	H3
YKL017C	GFP(+)09	A4
YLR153C	GFP(+)09	B4
YLR403W	GFP(+)09	C4
YJL034W	GFP(+)09	D4
YBR117C	GFP(+)09	E4
YKL126W	GFP(+)09	F4
YPR074C	GFP(+)09	G4
YDR129C	GFP(+)09	H4
YHL029C	GFP(+)09	A5
YIR003W	GFP(+)09	B5
YKL025C	GFP(+)09	C5
YKL179C	GFP(+)09	D5
YJL101C	GFP(+)09	E5
YNL027W	GFP(+)09	F5
YMR061W	GFP(+)09	G5
YMR104C	GFP(+)09	H5
YMR232W	GFP(+)09	A6
YOL023W	GFP(+)09	B6
YOR243C	GFP(+)09	C6
YPL089C	GFP(+)09	D6
YBR216C	GFP(+)09	E6
YDR295C	GFP(+)09	F6
YDR452W	GFP(+)09	G6
YBR212W	GFP(+)09	H6
YDR362C	GFP(+)09	A7
YNL103W	GFP(+)09	B7
YLR330W	GFP(+)09	C7
YNL045W	GFP(+)09	D7
